date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:59	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.eot?	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.18d41d.delayed	(from http://themesground.com/altima/demo-page/css/bootstrap.css)
12:22:00	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.woff	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.19.delayed	(from http://themesground.com/altima/demo-page/css/bootstrap.css)
12:22:01	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.ttf	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.1a.delayed	(from http://themesground.com/altima/demo-page/css/bootstrap.css)
12:22:02	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.svg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/glyphicons-halflings-regular.1b.delayed	(from http://themesground.com/altima/demo-page/css/bootstrap.css)
12:22:10	709081/709081	---M--	200	added ('OK')	image/jpeg	etag:%222f20490-ad1d9-58a29debf7bc4%22	http://themesground.com/altima/demo-page/images/image3.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/image3.jpg	(from http://themesground.com/altima/demo-page/)
12:22:36	245472/245472	---M--	200	added ('OK')	image/jpeg	etag:%222f20493-3bee0-58a29decea29a%22	http://themesground.com/altima/demo-page/images/responsive-mobile.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/responsive-mobile.jpg	(from http://themesground.com/altima/demo-page/)
12:23:08	347098/347098	---M--	200	added ('OK')	image/jpeg	etag:%222f20488-54bda-58a29de99fa5f%22	http://themesground.com/altima/demo-page/images/home2.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home2.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
12:23:42	592221/592221	---M--	200	added ('OK')	image/jpeg	etag:%222f20487-9095d-58a29deacf5a9%22	http://themesground.com/altima/demo-page/images/home1.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home1.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:00	503310/503310	---M--	200	added ('OK')	image/jpeg	etag:%222f20489-7ae0e-58a29de9f4da1%22	http://themesground.com/altima/demo-page/images/home3.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home3.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:08	46242/46242	---M--	200	added ('OK')	image/jpeg	etag:%222f2048c-b4a2-58a29dea9fbf5%22	http://themesground.com/altima/demo-page/images/home6.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home6.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:08	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/images/home7.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home7.22.delayed	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:09	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/images/home8.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home8.23.delayed	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:10	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/images/home9.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home9.24.delayed	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:11	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.eot?v=4.7.0	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.253e6e.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:11	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.eot?	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.26d41d.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:12	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.273e6e.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:12	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.woff?v=4.7.0	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.283e6e.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:13	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.293e6e.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:13	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/altima/demo-page/fonts/fontawesome-webfont.svg?v=4.7.0	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/fonts/fontawesome-webfont.2a3e6e.delayed	(from http://themesground.com/altima/demo-page/css/font-awesome.min.css)
12:24:40	412083/412083	---M--	200	added ('OK')	image/jpeg	etag:%222f2048b-649b3-58a29dea8fe0e%22	http://themesground.com/altima/demo-page/images/home5.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home5.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
12:24:43	1633579/1633579	---M--	200	added ('OK')	image/jpeg	etag:%222f20491-18ed2b-58a29ded47e94%22	http://themesground.com/altima/demo-page/images/image4.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/image4.jpg	(from http://themesground.com/altima/demo-page/)
12:24:47	737119/737119	---M--	200	added ('OK')	image/jpeg	etag:%222f2048a-b3f5f-58a29dea56432%22	http://themesground.com/altima/demo-page/images/home4.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/home4.jpg	(from http://themesground.com/altima/demo-page/css/style.css)
